"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"4","3.482079","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"5","4.026085","1.4.1","host","USB","35","0200060000000000","URB_INTERRUPT in"
"6","4.162086","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"7","4.570086","1.4.1","host","USB","35","0200130000000000","URB_INTERRUPT in"
"8","4.682136","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"9","5.026088","1.4.1","host","USB","35","0200060000000000","URB_INTERRUPT in"
"10","5.170087","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"11","5.466088","1.4.1","host","USB","35","0200170000000000","URB_INTERRUPT in"
"12","5.562142","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"13","5.842144","1.4.1","host","USB","35","0200090000000000","URB_INTERRUPT in"
"14","5.986087","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"15","7.114087","1.4.1","host","USB","35","0200300000000000","URB_INTERRUPT in"
"16","7.210088","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"17","7.546090","1.4.1","host","USB","35","0200320000000000","URB_INTERRUPT in"
"18","7.674088","1.4.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"19","7.866084","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"20","8.362089","1.4.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"21","8.498091","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"22","10.330092","1.4.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"23","10.458091","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"24","10.778089","1.4.1","host","USB","35","0000590000000000","URB_INTERRUPT in"
"25","10.898089","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"26","11.282094","1.4.1","host","USB","35","00005c0000000000","URB_INTERRUPT in"
"27","11.378093","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"28","11.858093","1.4.1","host","USB","35","00005e0000000000","URB_INTERRUPT in"
"29","11.970092","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"30","12.546093","1.4.1","host","USB","35","2000000000000000","URB_INTERRUPT in"
"31","12.626088","1.4.1","host","USB","35","2000870000000000","URB_INTERRUPT in"
"32","12.754088","1.4.1","host","USB","35","0000870000000000","URB_INTERRUPT in"
"33","12.810093","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"34","13.874094","1.4.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"35","13.994094","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"36","14.626095","1.4.1","host","USB","35","00005c0000000000","URB_INTERRUPT in"
"37","14.698094","1.4.1","host","USB","35","00005c5d00000000","URB_INTERRUPT in"
"38","14.778094","1.4.1","host","USB","35","00005d0000000000","URB_INTERRUPT in"
"39","14.834096","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"40","16.106096","1.4.1","host","USB","35","2000000000000000","URB_INTERRUPT in"
"41","16.186096","1.4.1","host","USB","35","2000870000000000","URB_INTERRUPT in"
"42","16.274091","1.4.1","host","USB","35","0000870000000000","URB_INTERRUPT in"
"43","16.322154","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"44","17.354097","1.4.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"45","17.498099","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"46","18.306098","1.4.1","host","USB","35","00005c0000000000","URB_INTERRUPT in"
"47","18.418098","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"48","18.874099","1.4.1","host","USB","35","0000610000000000","URB_INTERRUPT in"
"49","18.970100","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"50","19.578099","1.4.1","host","USB","35","00005f0000000000","URB_INTERRUPT in"
"51","19.690101","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"52","20.306101","1.4.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"53","20.386099","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"54","21.826101","1.4.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"55","21.946102","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"56","22.290101","1.4.1","host","USB","35","0000200000000000","URB_INTERRUPT in"
"57","22.410104","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"58","22.874101","1.4.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"59","23.018103","1.4.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
